time,reaction
05:26,"and uh yeah beginning of this the"
05:28,"weekend if you tell me we're fighting"
05:30,"with the Aon I think you know we are in"
05:32,"a good spot but uh yeah clearly the pace"
05:35,"is kind of where we are we really"
05:36,"maximize everything the race and I"
05:38,"didn't do any mistake but just to"
05:39,"maintain L behind was so difficult"
05:42,"I'm kind of pleased I mean it's uh I'm not"
05:44,"over the moon didn't score any points"
05:45,"but you know I think we've been we've"
05:48,"been telling you guys as well it's seems"
05:50,"like we have a car that's a bit better"
05:52,"on the tires this year not necessarily"
05:54,"quicker than last year but um at least"
05:57,"better on the tires so I think think we"
05:59,"showed that today although it's still only one track"
06:02,"but yeah we were yeah not"
06:05,"quite good enough for for points today"
06:06,"so to answer your question not not quite"
06:09,"there um I've got an idea of though what"
06:11,"we can do to be better um so that's"
06:14,"obviously I have some confidence going"
06:16,"to next week but uh the first two SS"
06:19,"were a little uh a little painful today"
06:27,"oh in the end he didn't over"
06:29,"take us so in the end he just had a"
06:31,"clean air and a better pace and"
06:34,"obviously I was stuck behind magnes I"
06:36,"was just over about to overtake and but"
06:38,"anyway uh it's first race"
06:42,"um Still Still lots of things understand"
06:45,"anyway and we were not anyway fighting"
06:47,"for the points so yeah see how it goes"
06:50,"we had alarms all race we we were"
06:52,"fighting a lot of issues"
06:54,"electronically um as well as the car"
06:56,"overheating so um we couldn't stay close"
06:58,"to other cars in front of us"
07:01,"yeah yeah yeah unfortunately very frustrating and"
07:03,"disappointing um very similar scenario"
07:05,"to last year in turn four yeah just uh"
07:10,"yeah just bad um on the positive side"
07:14,"though the race pace and the deck uh"
07:16,"looked looked pretty reasonable"
07:18,"unfortunately I think it's been very"
07:20,"similar you know between quali and race"
07:21,"but you know I'm looking forward to be"
07:23,"checking the data I think that's the the"
07:25,"exercise that we uh needed to do today"
07:28,"uh check the data"
07:29,"uh compared to other cars with different"
07:31,"compounds and see you know what's the"
07:33,"difference between race and qual with"
07:34,"with the other cars um all in all you"
07:37,"know it's been a difficult weekend but I"
07:39,"think Jedi should suit our car a little"
07:41,"bit better um and I hope that we are"
07:43,"going to be closer to the pack uh than"
07:45,"we were this weekend"
07:47,"pretty much what we expected so um in terms of C potential"
07:52,"we maxed maxed out everything we we had"
07:55,"uh we knew it will be tough to to battle"
07:57,"it was not our day on top of that I had"
08:00,"amazing start but then I got uh kind of"
08:02,"into the mess with uh land spinning and"
08:06,"kind of like everyone uh bunching up"
08:08,"into turn one so uh didn't benefit from"
08:10,"the the great starts"
08:12,"I mean yeah obviously there was um an issue with the"
08:14,"wheelnut something to something to"
08:17,"investigate make sure um yeah it doesn't"
08:20,"doesn't happen again I think that's the"
08:21,"main take for me from today but and also"
08:24,"yeah unlucky with the turn one incident"
08:26,"had a bit of damage in the in the front"
08:28,"Wing so clearly not my day but hopefully"
08:30,"that's bad luck for the year done"
08:33,"uh yeah it was just frustrating happened"
08:35,"yesterday in quality happened again"
08:37,"today um so obviously need to figure out"
08:40,"the the core cause for it because it"
08:43,"wasn't fixed"
08:45,"um I think more just frustrated had a"
08:48,"good first lap had a good opening stint"
08:50,"um felt like it was coming to me um"
08:53,"struggling with pu temp so I couldn't"
08:55,"stay close to the cars ahead so it was"
08:57,"just a bit of a"
09:00,"unfortunate"
09:09,"disaster"
