time,reaction
06:17,"the car in front of me just stopped"
06:20,"right in front of me I had nowhere to go"
06:21,"um and yeah it was just one of those"
06:23,"really weird racing incidents"
06:25,"wasn't really our day um started P 17 bad"
06:30,"qualifying yesterday and uh took the"
06:32,"consequence of that today sometimes you"
06:34,"can make it back but um today we couldn't"
06:36,"the first half of the race was"
06:37,"pretty good to be honest"
06:39,"um I think especially on that Medium"
06:42,"Tire we felt like we were in a really"
06:43,"good window I think we had ourselves up"
06:45,"into a pretty good position and in a"
06:46,"pretty good place but yeah we just put"
06:48,"the hard Tire on and literally it deed"
06:50,"immediately and um just really really"
06:53,"struggled from that point forward so"
06:55,"pretty simple I got hit um pretty big"
07:00,"uh so yeah it was yeah I mean restarts"
07:03,"you got to you got to look at the car in"
07:04,"front obviously and see what's what's"
07:06,"happening and it's frustrating cuz uh"
07:09,"yeah it wasn't wasn't like a little a"
07:12,"little L tap um went right under the car"
07:14,"and then we had obviously a lot of"
07:15,"damage so we had to well we we uh"
07:18,"retired the car cuz we were you"
07:20,"obviously uh not not really driving an"
07:23,"F1 car at the end with the damage we had"
07:24,"so really yeah frustrating obviously"
07:28,"yeah unfortunate and I think uh it's"
07:30,"pretty frustrated how I how we ended up"
07:32,"because uh it's pretty pretty good in"
07:34,"terms of how I progressed until until then so but it's fine yeah"
07:37,"yeah it was"
07:40,"really sudden just lost the drive and"
07:42,"then um yeah engine turned off basically"
07:44,"and uh car stopped I don't know what"
07:47,"costus it yet but something to"
07:49,"investigate but yeah it's disappointing"
07:51,"because seemed like we're running for"
07:53,"points today"
