time,reaction
04:00,"yeah a lot of reflection and things to"
04:02,"try and get on top of next time but um"
04:04,"yeah that was uh not the afternoon we were we looking for"
04:08,"I mean the car is"
04:10,"never what I would hoped it would be"
04:12,"it's never what we would hoped it would"
04:13,"be um yeah it was uh I I got some damage"
04:19,"I think in the first stint uh of this of"
04:21,"the restart with uh shl and I had"
04:24,"massive under steer like huge huge under"
04:26,"steer so that's why I decided to let uh"
04:29,"George by because it was the he seemed"
04:31,"quicker and I just couldn't turn the car"
04:34,"and it took us two stints to D finally"
04:36,"dial more and more Wing in to get to make up for that loss"
04:38,"yeah uh relieved"
04:42,"you know uh I would say uh after I lost"
04:45,"the couple of positions in the first"
04:47,"start"
04:48,"I yeah I felt a little bit of a"
04:50,"disappointment for sure but at the same"
04:52,"time um had a good start after that and"
04:55,"I think one of the big highlights was"
04:56,"the uh the pit stop uh our team the"
04:59,"fantastic job uh mechanics that's very"
05:02,"fast bit stop and it over overtook two cars you know that's insane"
05:04,"50 seconds"
05:07,"behind Hilton so I think yeah I didn't"
05:09,"have that kind of pace uh yeah one good"
05:12,"start one really bad start um went into"
05:15,"aunti stall so uh we need to look into"
05:17,"what happened why why did that um but"
05:21,"like you say afterwards you know head"
05:22,"down I think the the pace was was pretty good for Midfield uh"
05:24,"yeah really tough"
05:27,"um we lacked a lot of straight line"
05:28,"speed so I had to do my overtaking in"
05:31,"turn six um I couldn't do it um down the"
05:35,"main straight in DRS so um yeah it was a"
05:38,"tough race tough weekend but um yeah"
05:41,"well yeah at some point I was uh"
05:44,"running in the top 10 and I didn't"
05:46,"really know I didn't have the overview"
05:48,"of what the others were doing so I"
05:50,"didn't know if it was realistic or not"
05:52,"but you know I was trying and uh I think"
05:54,"with with the tires we had you know the"
05:57,"the the red flag effectively helped"
05:59,"helped you know a few people that then"
06:02,"were able to do a One Stop hard hard and"
06:06,"I had to do a a One Stop medium heart"
06:08,"which was pretty tough so um had to pit"
06:11,"quite early for for the second uh stint"
06:14,"on the heart and um it it was a bit tricky"
06:18,"yeah I think I honestly like was"
06:21,"a positive day in terms of the pace"
06:23,"overall um yeah we did uh stop quite"
06:26,"early on the on the second stop and"
06:28,"actually same with all the others and"
06:30,"unfortunately they ended up behind all"
06:33,"the cars that were racing so then it"
06:35,"just yeah basically for the rest of the"
06:37,"race I was stuck behind Kevin who had a"
06:39,"really really high top speed so I"
06:41,"couldn't really really find a way around him"
06:43,"yeah it was it was very tricky um"
06:46,"you know we picked up some uh some"
06:47,"damage at the start which obviously"
06:49,"didn't help but then you know we tried"
06:51,"something on strategies um to try and be"
06:54,"ahead of the other cars every time but"
06:56,"we are not able to to keep them behind"
06:57,"so it was a good good for us this"
07:00,"weekend see where we were exactly I"
07:01,"think we probably progress in terms of"
07:03,"qualifying I think we did a good one"
07:06,"well starting with the positives we got"
07:08,"a great start on the first one managed"
07:10,"to move up three"
07:12,"positions second start was amazing again"
07:15,"um managed to get by uh get past estan"
07:19,"and go in between Yuki and and estan and"
07:21,"unfortunately uh did up in the middle"
07:24,"Yuki turning left estan right and uh we"
07:27,"had contact on the left"
07:30,"withan and took it took me uh all the the left part of the floor"
07:33,"yeah I think"
07:34,"it was a good start uh good first intint"
07:37,"um was trying to do a bit of a bold"
07:40,"strategy and um I think we could have"
07:42,"done it it could have worked out we just"
07:44,"got really unlucky at that first Pit"
07:46,"Stop um ended up getting jumped by four"
07:49,"rather than jumping four and uh that"
07:52,"that obviously can make a break a race"
07:53,"honestly it's very frustrating at the"
07:56,"moment with uh several uses over the"
07:58,"weekend but uh unfortunately yeah"
08:00,"there's one of the day that we have"
08:02,"another issue on the gearbox"
08:03,"so like the the back of the car was uh"
08:07,"the oil was burning and uh yeah of"
08:09,"course going around also the gear was"
08:11,"not really synced so yeah had some issue"
08:14,"in M as well but a different one but we"
08:15,"need to see to clear out for next race"
08:17,"because it's been a pretty let's say disappointing start of the year"
08:20,"yeah I"
08:23,"think it was yeah they definitely kind"
08:24,"of concentrated behind us uh everyone"
08:27,"who started on the so well at least the"
08:29,"cars in front on the medium looked a"
08:31,"fair okay but yeah myself and Yuki had a"
08:34,"pretty poor Getaway on the medium and"
08:35,"all the cars behind on the soft just"
08:38,"yeah um got us got us uh quite quite"
08:42,"easily and we were just kind of"
08:43,"scrabbling obviously for for some grip"
08:45,"and um by turn two it settled a little"
08:48,"bit but then I remember getting out of"
08:49,"two quite quite uh still with a a little"
08:53,"bit of uh lack of traction and I"
08:55,"remember an ason on my left so I was"
08:57,"kind of watching that car and then as I"
08:59,"was starting to drift to open up three I"
09:02,"uh I felt uh I felt Alex so I think yeah"
09:05,"just I saw his on board and he just had"
09:07,"so much better drive out of two he I"
09:09,"don't even know if he wanted to be there"
09:11,"but um yeah he could see me kind of"
09:14,"going a little bit sideways and uh yeah"
09:17,"just uh I think as as you probably said"
09:19,"just everyone kind of got choked up and"
09:22,"that was that"
09:24,"so"
09:25,"uh yeah unfortunately a short short Sunday"
09:28,"had a not a great start but"
09:31,"obviously a bit better than the medium"
09:33,"tires and um had good traction coming up"
09:35,"turn two uh yeah that was it really just"
09:40,"um I don't think Daniel saw me and then"
09:41,"it was just a bit of a a pinching moment"
09:43,"so tried to back out of it but"
09:46,"um couldn't quite get out the way quick"
09:49,"enough so yeah it was a a tough one to"
09:51,"take obviously we're not in a great"
09:53,"position as a team with with parts and"
09:57,"and just general damage for the car so"
09:59,"um yeah very frustrating and obviously"
10:01,"just uh just disappointing we need to um"
10:04,"bounce back and and get ready for for"
10:15,"China"
